Index;danceability_%;valence_%;energy_%;acousticness_%;instrumentalness_%;liveness_%;speechiness_%
800;32;49;72;0;0;9;4
801;76;79;81;18;0;6;34
802;58;27;36;86;0;9;3
803;47;7;50;32;0;7;4
804;37;27;56;8;0;13;3
805;70;31;44;84;0;9;39
806;56;68;89;4;0;33;19
807;72;70;82;2;0;4;17
808;72;36;72;26;6;11;4
809;51;39;29;90;0;10;4
810;63;29;51;43;0;25;4
811;69;63;45;48;0;18;4
812;80;74;60;8;0;14;26
813;88;15;56;1;0;8;6
814;82;76;70;16;0;8;5
815;60;68;84;4;0;24;11
816;56;40;54;72;0;10;4
817;80;77;85;11;0;17;14
818;71;39;86;2;0;51;25
819;58;30;46;14;0;9;3
820;73;88;67;20;0;32;5
821;56;20;54;67;0;6;5
822;65;88;72;36;14;20;3
823;63;29;62;4;0;18;4
824;85;42;80;6;0;17;14
825;72;90;48;32;0;18;23
826;83;90;64;35;5;9;4
827;81;68;58;83;0;11;34
828;57;30;89;10;0;33;8
829;51;21;63;5;0;41;3
830;71;90;81;31;2;13;3
831;91;63;77;12;1;10;5
832;83;56;82;10;0;9;5
833;56;25;45;1;3;7;3
834;60;46;71;3;0;16;4
835;52;28;48;54;1;19;3
836;81;61;93;49;0;12;11
837;42;32;20;94;0;11;4
838;68;54;76;21;0;11;20
839;49;14;40;82;0;11;3
840;70;97;62;47;0;10;4
841;54;59;83;0;44;20;4
842;70;87;88;4;0;26;8
843;91;59;82;8;0;6;8
844;51;5;68;12;2;15;6
845;73;62;75;0;0;34;8
846;81;72;65;4;0;14;4
847;80;36;86;4;0;3;5
848;44;41;92;0;0;44;7
849;78;31;72;1;0;11;4
850;45;67;90;9;11;10;5
851;80;55;56;13;0;8;9
852;56;52;64;11;0;45;7
853;88;8;49;9;0;9;14
854;88;52;69;0;0;8;23
855;95;83;57;54;0;10;25
856;85;80;83;10;0;8;11
857;44;44;67;7;0;12;13
858;58;68;91;2;0;27;11
859;71;78;40;46;0;7;45
